YEAR,MM,DD,T2M_MAX,T2M_MIN,NAMES
1981,9,7,27.62,21.18,bobo
1981,9,8,28.62,20.87,bobo
1981,9,9,28.44,21.06,bobo
1981,9,10,27.9,20.5,bobo
1981,9,11,27.35,20.93,bobo
1981,9,12,30.32,20.81,bobo
1981,9,13,27.24,22.3,bobo
1981,9,14,29.25,20.05,bobo
1981,9,15,29.26,22.12,bobo
1981,9,16,28.19,20.8,bobo
1981,9,17,28.24,21.28,bobo
1981,9,18,NA,NA,bobo
1981,9,19,28.55,21.39,bobo
1981,9,20,29.01,20.82,bobo
1981,9,21,28.25,20.94,bobo
1981,9,22,29.24,21.08,bobo
1981,9,23,28.52,21.7,bobo
1981,9,24,29.29,21.64,bobo
1981,9,25,25.84,22.18,bobo
1981,9,26,25.98,21.53,bobo
1981,9,27,30.48,20.99,bobo
1981,9,28,28.73,22.33,bobo
1981,9,29,29.47,22.37,bobo
1981,9,30,30.19,22.05,bobo
1981,10,1,30.15,21.73,bobo
1981,10,2,29.85,21.5,bobo
1981,10,3,30.9,20.48,bobo
1981,10,4,31.23,20.42,bobo
1981,10,5,31.58,21.3,bobo
1981,10,6,31.38,21.53,bobo
1981,10,7,31.09,21.81,bobo
1981,10,8,30.12,21.75,bobo
1981,10,9,30.38,21.59,bobo
1981,10,10,27.55,21.3,bobo
1981,10,11,30.44,21.48,bobo
1981,10,12,30.91,21.11,bobo
1981,10,13,28.09,21.41,bobo
1981,10,14,30.73,21.12,bobo
1981,10,15,31.15,21.63,bobo
1981,10,16,31.65,21.78,bobo
1981,10,17,31.45,21.24,bobo
1981,10,18,31.94,21.47,bobo
1981,10,19,32.33,21.72,bobo
1981,10,20,32.26,21.74,bobo
1981,10,21,31.04,21.78,bobo
1981,10,22,30.07,21.58,bobo
1981,10,23,29.99,22,bobo
1981,10,24,31.79,21.26,bobo
1981,10,25,29.63,22.07,bobo
1981,10,26,30.98,22.08,bobo
1981,10,27,30.62,21.4,bobo
1981,10,28,30.76,21.8,bobo
1981,10,29,31.72,22.59,bobo
1981,10,30,31.19,22.24,bobo
1981,10,31,30.62,21.83,bobo
1981,11,1,31.58,22.62,bobo
1981,11,2,30.97,20.82,bobo
1981,11,3,32.19,21.51,bobo
1981,11,4,31.57,21.19,bobo
1981,11,5,28.89,21.6,bobo
1981,11,6,30.44,20.42,bobo
1981,11,7,30.68,17.43,bobo
1981,11,8,31.12,16.73,bobo
1981,11,9,29.42,17.41,bobo
1981,11,10,30.74,16.51,bobo
1981,11,11,31.08,16.17,bobo
1981,11,12,32.01,18.07,bobo
1981,11,13,32,19.51,bobo
1981,11,14,31.65,17.26,bobo
1981,11,15,31.25,16.8,bobo
1981,11,16,31.12,17.51,bobo
1981,11,17,31.94,16.39,bobo
1981,11,18,31.44,15.76,bobo
1981,11,19,31.79,16.07,bobo
1981,11,20,31.76,17.8,bobo
1981,11,21,31.35,17.23,bobo
1981,11,22,30.02,14.77,bobo
1981,11,23,28.76,13.55,bobo
1981,11,24,29.1,13.45,bobo
1981,11,25,29.55,13.78,bobo
1981,11,26,30.25,13.75,bobo
1981,11,27,30.78,14.77,bobo
