YEAR,MM,DD,PRECTOTCORR,NAMES
1982,3,17,0.22,bobo
1982,3,18,3.73,bobo
1982,3,19,1.17,bobo
1982,3,20,2.5,bobo
1982,3,21,1.26,bobo
1982,3,22,23.03,bobo
1982,3,23,0.02,bobo
1982,3,24,0.03,bobo
1982,3,25,0,bobo
1982,3,26,0.1,bobo
1982,3,27,1.12,bobo
1982,3,28,0.65,bobo
1982,3,29,0.68,bobo
1982,3,30,3.4,bobo
1982,3,31,5.21,bobo
1982,4,1,1.99,bobo
1982,4,2,1.64,bobo
1982,4,3,0.64,bobo
1982,4,4,1.46,bobo
1982,4,5,1.07,bobo
1982,4,6,0.05,bobo
1982,4,7,0.23,bobo
1982,4,8,0.19,bobo
1982,4,9,0.03,bobo
1982,4,10,0.04,bobo
1982,4,11,18.55,bobo
1982,4,12,13.59,bobo
1982,4,13,11.83,bobo
1982,4,14,17.1,bobo
1982,4,15,11,bobo
1982,4,16,1.51,bobo
1982,4,17,4.35,bobo
1982,4,18,0.4,bobo
1982,4,19,3.82,bobo
1982,4,20,4.94,bobo
1982,4,21,4.34,bobo
1982,4,22,5.63,bobo
1982,4,23,5.65,bobo
1982,4,24,8.51,bobo
1982,4,25,28.79,bobo
1982,4,26,1.34,bobo
1982,4,27,0.78,bobo
1982,4,28,-9999,bobo
1982,4,29,1.35,bobo
1982,4,30,1.96,bobo
1982,5,1,8.5,bobo
1982,5,2,9.9,bobo
1982,5,3,1.46,bobo
1982,5,4,4.15,bobo
1982,5,5,7.25,bobo
1982,5,6,5.29,bobo
1982,5,7,5.83,bobo
1982,5,8,0.36,bobo
1982,5,9,0.38,bobo
1982,5,10,0.73,bobo
1982,5,11,10.54,bobo
1982,5,12,0.21,bobo
1982,5,13,6.25,bobo
1982,5,14,0.39,bobo
1982,5,15,0.16,bobo
1982,5,16,0.23,bobo
1982,5,17,1.57,bobo
1982,5,18,4.67,bobo
1982,5,19,2.16,bobo
1982,5,20,0.19,bobo
1982,5,21,1.11,bobo
1982,5,22,1.21,bobo
1982,5,23,1.55,bobo
1982,5,24,0.68,bobo
1982,5,25,0.34,bobo
1982,5,26,5.62,bobo
