YEAR,MM,DD,T2M_MAX,T2M_MIN,NAMES
1981,9,27,33.11,22.91,dori
1981,9,28,32.23,23.07,dori
1981,9,29,32.28,23.23,dori
1981,9,30,34.06,22.27,dori
1981,10,1,35.04,22.33,dori
1981,10,2,35.57,22.53,dori
1981,10,3,34.67,23.25,dori
1981,10,4,35.78,21.64,dori
1981,10,5,36.87,23.03,dori
1981,10,6,37.41,22.65,dori
1981,10,7,34.75,23.08,dori
1981,10,8,36.02,20.52,dori
1981,10,9,35.31,22.78,dori
1981,10,10,33.98,22.76,dori
1981,10,11,36.11,22.31,dori
1981,10,12,34.43,24.44,dori
1981,10,13,33.71,23.37,dori
1981,10,14,34.85,22.87,dori
1981,10,15,36.33,23.23,dori
1981,10,16,36.96,22.59,dori
1981,10,17,36.59,20.98,dori
1981,10,18,36.87,20.94,dori
1981,10,19,37.09,21.4,dori
1981,10,20,36.98,19.69,dori
1981,10,21,36.57,22.05,dori
1981,10,22,36.44,21.69,dori
1981,10,23,36.82,20.04,dori
1981,10,24,38.08,21.31,dori
1981,10,25,38.05,22.74,dori
1981,10,26,36.76,22.69,dori
1981,10,27,36.94,23.52,dori
1981,10,28,37.65,22.61,dori
1981,10,29,38,19.71,dori
1981,10,30,35.01,19.42,dori
1981,10,31,37.08,21.8,dori
1981,11,1,37.76,20.7,dori
1981,11,2,36.69,20.78,dori
1981,11,3,37.4,20.14,dori
1981,11,4,36.91,20.05,dori
1981,11,5,31.99,19.9,dori
1981,11,6,34.83,19.12,dori
1981,11,7,35.81,19.19,dori
1981,11,8,35.19,18.89,dori
1981,11,9,33.76,18.56,dori
1981,11,10,36.33,18.49,dori
1981,11,11,36.67,19.11,dori
1981,11,12,36.05,19.1,dori
1981,11,13,35.23,17.65,dori
1981,11,14,34.17,16.8,dori
1981,11,15,34.47,18.73,dori
1981,11,16,35.48,18.26,dori
1981,11,17,34.87,18.19,dori
1981,11,18,34.19,15.45,dori
1981,11,19,35.01,17.68,dori
1981,11,20,34.51,17.26,dori
1981,11,21,32.71,17.36,dori
1981,11,22,31.65,15.94,dori
1981,11,23,30.44,14.9,dori
1981,11,24,30.52,16.44,dori
1981,11,25,30.98,15.09,dori
1981,11,26,31.81,15.91,dori
1981,11,27,33.25,16.54,dori
1981,11,28,31.93,19.3,dori
1981,11,29,30.19,18.69,dori
1981,11,30,29.85,17.97,dori
1981,12,1,33.41,16.04,dori
1981,12,2,33.28,16.37,dori
1981,12,3,32.85,16.69,dori
1981,12,4,33.39,17.64,dori
1981,12,5,32.65,15.31,dori
1981,12,6,32.04,14.44,dori
1981,12,7,32.95,14.19,dori
1981,12,8,32.77,15.14,dori
1981,12,9,34.23,17.44,dori
1981,12,10,34.94,18.56,dori
1981,12,11,35.09,19.08,dori
1981,12,12,34.27,16.8,dori
1981,12,13,32.95,15.07,dori
1981,12,14,32.18,14.83,dori
1981,12,15,32.62,14.94,dori
1981,12,16,33.73,14.71,dori
1981,12,17,33.2,14.45,dori
1981,12,18,32.35,15.42,dori
1981,12,19,33.94,14.44,dori
1981,12,20,33.28,15.86,dori
1981,12,21,32.87,15.09,dori
1981,12,22,30.13,14.65,dori
1981,12,23,33.23,13.51,dori
1981,12,24,NA,NA,dori
1981,12,25,34.01,14.58,dori
1981,12,26,34.82,16.06,dori
1981,12,27,34.8,16.56,dori
1981,12,28,35.21,17.1,dori
1981,12,29,34.24,16.11,dori
1981,12,30,35.99,17.83,dori
1981,12,31,35.05,16.47,dori
1982,1,1,34.72,15.66,dori
1982,1,2,34.55,15.63,dori
1982,1,3,33.79,14.65,dori
1982,1,4,32.52,15.68,dori
1982,1,5,30.75,13.72,dori
1982,1,6,30.03,12.38,dori
1982,1,7,29.59,11.94,dori
1982,1,8,29.78,12.15,dori
1982,1,9,29.83,11.69,dori
1982,1,10,29.86,11.01,dori
1982,1,11,30.86,11.77,dori
1982,1,12,33.23,13.74,dori
1982,1,13,35.24,16.53,dori
1982,1,14,33.76,17.96,dori
1982,1,15,34.27,17.87,dori
1982,1,16,34.01,17.02,dori
1982,1,17,34.41,16.6,dori
1982,1,18,34.86,18.11,dori
1982,1,19,34.9,18.42,dori
1982,1,20,29.98,17.66,dori
1982,1,21,28.25,15.82,dori
1982,1,22,27.49,16.32,dori
1982,1,23,28.56,13.5,dori
1982,1,24,28.42,11.19,dori
1982,1,25,28.33,10.8,dori
1982,1,26,29.69,11.37,dori
1982,1,27,30.99,13.96,dori
1982,1,28,31.05,13.08,dori
1982,1,29,31.57,13.48,dori
1982,1,30,30.66,13.35,dori
1982,1,31,31.6,14.86,dori
1982,2,1,32.12,14.72,dori
1982,2,2,33.8,14.12,dori
1982,2,3,35.9,15.84,dori
1982,2,4,36.29,18.26,dori
1982,2,5,35.05,16.65,dori
1982,2,6,33.21,16.53,dori
1982,2,7,30.09,14.7,dori
1982,2,8,29.52,13.53,dori
1982,2,9,30.56,13.33,dori
1982,2,10,31.67,15.01,dori
1982,2,11,32.32,16.55,dori
1982,2,12,34.77,16.93,dori
1982,2,13,36.15,17.11,dori
1982,2,14,36.28,18.94,dori
1982,2,15,36.73,18.44,dori
1982,2,16,36.34,19.63,dori
1982,2,17,33.16,23.83,dori
1982,2,18,33.44,21.17,dori
1982,2,19,35.58,22.3,dori
1982,2,20,36.09,22.14,dori
1982,2,21,34.37,19.69,dori
1982,2,22,34.51,17.54,dori
1982,2,23,35.42,18.48,dori
1982,2,24,35.65,18.8,dori
1982,2,25,34.1,19.84,dori
1982,2,26,34.96,19.41,dori
1982,2,27,34.65,17.43,dori
1982,2,28,35.18,16.88,dori
1982,3,1,34.54,17.66,dori
1982,3,2,33.64,15.76,dori
1982,3,3,32.49,15.86,dori
1982,3,4,30.4,14.23,dori
1982,3,5,33.18,13.48,dori
1982,3,6,34.38,14.82,dori
1982,3,7,35.94,16.43,dori
1982,3,8,37.26,17.85,dori
1982,3,9,38.3,19.14,dori
1982,3,10,39.63,20.21,dori
1982,3,11,33.92,23.7,dori
1982,3,12,35.3,23.1,dori
1982,3,13,36.55,24.44,dori
1982,3,14,38.92,24.58,dori
1982,3,15,39.42,23.69,dori
1982,3,16,39.51,22.2,dori
1982,3,17,39.32,22.74,dori
1982,3,18,38.62,25.26,dori
1982,3,19,37.51,26.46,dori
1982,3,20,37.64,24.3,dori
1982,3,21,30.67,23.78,dori
1982,3,22,34.51,21.13,dori
1982,3,23,35.2,23.03,dori
1982,3,24,36.78,21.18,dori
1982,3,25,38.03,21.51,dori
1982,3,26,39.56,22.66,dori
1982,3,27,40.65,25.24,dori
1982,3,28,40.67,23.34,dori
1982,3,29,36.09,28.48,dori
1982,3,30,37.93,26.79,dori
1982,3,31,40.08,24.18,dori
1982,4,1,39.96,24.52,dori
1982,4,2,40.14,22.57,dori
1982,4,3,41.14,20.96,dori
1982,4,4,41.98,23.15,dori
1982,4,5,41.94,21.4,dori
1982,4,6,37.4,25.69,dori
1982,4,7,40.91,25.74,dori
1982,4,8,41.14,23.58,dori
1982,4,9,40.55,22.48,dori
1982,4,10,39.92,21.54,dori
1982,4,11,38.9,24.07,dori
1982,4,12,41.48,24.04,dori
1982,4,13,39.37,25.6,dori
1982,4,14,40.02,26.87,dori
1982,4,15,36.63,26.11,dori
1982,4,16,40.66,26.68,dori
1982,4,17,41.3,27.74,dori
1982,4,18,41.09,26.02,dori
1982,4,19,40.88,25.09,dori
1982,4,20,39.7,26.75,dori
1982,4,21,39.08,27.89,dori
1982,4,22,35.63,26.83,dori
1982,4,23,40.76,26.43,dori
1982,4,24,39.8,29.76,dori
1982,4,25,36.98,29.02,dori
1982,4,26,35.48,27.61,dori
1982,4,27,38.83,27.6,dori
1982,4,28,NA,NA,dori
1982,4,29,40.96,25.59,dori
1982,4,30,39.94,22.71,dori
1982,5,1,40.17,24.39,dori
1982,5,2,40.21,26.51,dori
1982,5,3,37.97,26.75,dori
1982,5,4,40.92,26.48,dori
1982,5,5,41.82,26.83,dori
1982,5,6,42.31,24.58,dori
1982,5,7,41.83,25.9,dori
1982,5,8,39.15,28.2,dori
1982,5,9,32.65,27.51,dori
1982,5,10,35.05,24.71,dori
1982,5,11,39.03,26.62,dori
1982,5,12,42,28.65,dori
1982,5,13,39.59,26.65,dori
1982,5,14,39.29,27.32,dori
1982,5,15,40.65,28.43,dori
1982,5,16,40.14,28.72,dori
1982,5,17,33.41,27.98,dori
1982,5,18,35.23,26.44,dori
1982,5,19,37.64,26.27,dori
1982,5,20,35.09,26.51,dori
1982,5,21,39.62,24.71,dori
1982,5,22,41.15,27.9,dori
1982,5,23,40.64,28.61,dori
1982,5,24,37.38,27.24,dori
1982,5,25,38.47,26.82,dori
1982,5,26,38.91,27.92,dori
1982,5,27,31.09,26.73,dori
1982,5,28,34.32,24.99,dori
1982,5,29,36.78,25.43,dori
1982,5,30,35.93,26.55,dori
1982,5,31,36.83,25.22,dori
1982,6,1,37.98,25.7,dori
1982,6,2,33.02,26.34,dori
1982,6,3,33.51,24.9,dori
1982,6,4,35.58,24.64,dori
1982,6,5,35.73,24.96,dori
1982,6,6,33.59,26.27,dori
1982,6,7,36.23,26.42,dori
1982,6,8,37.68,26.15,dori
1982,6,9,34.17,27.41,dori
1982,6,10,38.07,25.23,dori
1982,6,11,38.73,25.32,dori
1982,6,12,39.19,26.55,dori
1982,6,13,38.76,27.51,dori
1982,6,14,36.7,27.35,dori
1982,6,15,37.08,26.68,dori
1982,6,16,34.58,27.99,dori
1982,6,17,34.73,26.43,dori
1982,6,18,37.62,25.31,dori
1982,6,19,39.38,25.09,dori
1982,6,20,39.55,26.53,dori
1982,6,21,37.75,27.33,dori
1982,6,22,38.02,25.73,dori
1982,6,23,35.16,26.65,dori
1982,6,24,36.04,24.58,dori
1982,6,25,35.8,25.73,dori
1982,6,26,33.55,25.08,dori
1982,6,27,32.22,24.3,dori
1982,6,28,34.64,23.75,dori
1982,6,29,33.96,24.11,dori
1982,6,30,33.38,23.33,dori
1982,7,1,37.37,24.09,dori
1982,7,2,38.18,24.48,dori
1982,7,3,32.98,24.48,dori
1982,7,4,35.46,23.72,dori
1982,7,5,35.86,24.63,dori
1982,7,6,35.4,25.1,dori
1982,7,7,34.94,25.04,dori
1982,7,8,35.08,24.3,dori
1982,7,9,36.46,24.29,dori
1982,7,10,36.17,24.57,dori
1982,7,11,34.86,23.76,dori
1982,7,12,30.66,24.6,dori
1982,7,13,34.58,23.03,dori
1982,7,14,32.45,23.26,dori
1982,7,15,33.11,23.82,dori
1982,7,16,32.64,24.12,dori
1982,7,17,32.98,23.31,dori
1982,7,18,32.15,23.23,dori
1982,7,19,31.65,23.16,dori
1982,7,20,33.08,23.43,dori
1982,7,21,36.73,23.4,dori
1982,7,22,31.89,24.37,dori
1982,7,23,31.66,22.67,dori
1982,7,24,34.19,22.86,dori
1982,7,25,31.98,23.05,dori
1982,7,26,33.26,22.89,dori
1982,7,27,35.33,23.8,dori
1982,7,28,33.85,23.68,dori
1982,7,29,35.86,23.51,dori
1982,7,30,34.04,23.32,dori
1982,7,31,32.34,24.16,dori
1982,8,1,30.01,22.78,dori
1982,8,2,32.68,21.83,dori
1982,8,3,30.65,23.18,dori
1982,8,4,31.31,22.9,dori
1982,8,5,31.97,22.65,dori
1982,8,6,32.17,22.77,dori
1982,8,7,29.41,22.65,dori
1982,8,8,32.01,21.87,dori
1982,8,9,29.73,23.1,dori
1982,8,10,30.94,22.26,dori
1982,8,11,30.94,21.7,dori
1982,8,12,32.73,21.79,dori
1982,8,13,32.95,23.79,dori
1982,8,14,32.32,23.32,dori
1982,8,15,32.69,21.59,dori
1982,8,16,32.68,23.14,dori
1982,8,17,37,22.61,dori
1982,8,18,33.7,23.83,dori
1982,8,19,31.58,23.53,dori
1982,8,20,30.42,22.96,dori
1982,8,21,33.56,22.35,dori
1982,8,22,31.76,23.2,dori
1982,8,23,32.4,22.12,dori
1982,8,24,30.8,23.29,dori
1982,8,25,31.05,22.85,dori
1982,8,26,33.23,22.15,dori
1982,8,27,33.47,22.55,dori
1982,8,28,32.48,21.73,dori
1982,8,29,35.07,21.9,dori
1982,8,30,35.18,22.69,dori
1982,8,31,32.79,23.29,dori
1982,9,1,34.55,22.15,dori
1982,9,2,34.45,22.37,dori
1982,9,3,34.24,23.11,dori
1982,9,4,33.48,22.66,dori
1982,9,5,33.77,23.58,dori
1982,9,6,34.4,22.94,dori
1982,9,7,35.15,23.3,dori
1982,9,8,33.98,22.56,dori
1982,9,9,35.24,21.76,dori
1982,9,10,36.58,21.86,dori
1982,9,11,34.31,22.73,dori
1982,9,12,32.38,23.37,dori
1982,9,13,36.3,22.75,dori
1982,9,14,36.19,23.19,dori
1982,9,15,32.82,23.6,dori
1982,9,16,36.05,22.71,dori
1982,9,17,39.15,22.63,dori
1982,9,18,38.53,23.51,dori
1982,9,19,36.23,24.73,dori
1982,9,20,34.11,24.11,dori
1982,9,21,37.37,23.1,dori
1982,9,22,38.34,22.92,dori
1982,9,23,39.12,23.06,dori
1982,9,24,34.02,24.81,dori
1982,9,25,37.14,22.51,dori
1982,9,26,38.26,23.09,dori
1982,9,27,39.44,25.5,dori
1982,9,28,39.1,23.41,dori
1982,9,29,37.38,23.73,dori
1982,9,30,36.08,23.52,dori
1982,10,1,36.08,23.53,dori
1982,10,2,36.29,22.71,dori
1982,10,3,31.17,22.59,dori
1982,10,4,30.8,22.26,dori
1982,10,5,32.23,20.59,dori
1982,10,6,36.39,21.01,dori
1982,10,7,36.62,23.03,dori
1982,10,8,32.28,24.51,dori
1982,10,9,35.63,23.15,dori
1982,10,10,37.82,22.75,dori
1982,10,11,33.71,23.87,dori
1982,10,12,35.4,22.69,dori
1982,10,13,37.83,23.56,dori
1982,10,14,38.32,22.88,dori
1982,10,15,37.82,24.11,dori
1982,10,16,38.06,24.29,dori
1982,10,17,38.6,25.05,dori
1982,10,18,37.49,24.8,dori
1982,10,19,38.73,25.26,dori
1982,10,20,38.55,25.26,dori
1982,10,21,38.12,24.58,dori
1982,10,22,38.85,22.92,dori
1982,10,23,38.18,23.5,dori
1982,10,24,38.8,22.97,dori
1982,10,25,38.58,21.34,dori
1982,10,26,38.11,22.27,dori
1982,10,27,37.43,23.68,dori
1982,10,28,35.13,25.27,dori
1982,10,29,33.48,23.68,dori
1982,10,30,32.3,23.89,dori
1982,10,31,33.47,23.02,dori
1982,11,1,35.2,23.33,dori
1982,11,2,37.33,24.42,dori
1982,11,3,35.17,22.92,dori
1982,11,4,34.27,20.01,dori
1982,11,5,36.69,20.41,dori
1982,11,6,36.85,21.04,dori
1982,11,7,36.48,18.94,dori
1982,11,8,36.25,19.23,dori
1982,11,9,35.37,19.52,dori
1982,11,10,33.35,19.08,dori
1982,11,11,36.35,18.17,dori
1982,11,12,36.07,18.68,dori
1982,11,13,35.4,18.26,dori
1982,11,14,35.29,17.35,dori
1982,11,15,35.83,17.89,dori
1982,11,16,35.72,19.36,dori
1982,11,17,36.39,18.2,dori
1982,11,18,35.51,16.93,dori
1982,11,19,34.9,16.13,dori
1982,11,20,33.73,17.14,dori
1982,11,21,32,14.71,dori
1982,11,22,28.82,16.26,dori
1982,11,23,31.76,16.22,dori
1982,11,24,32.05,17.06,dori
1982,11,25,31.87,15.8,dori
1982,11,26,31.48,14.6,dori
