"YEAR","MM","DD","T2M_MAX","T2M_MIN","PRECTOTCORR"
1981,9,10,27.9,20.5,15.6
1981,9,11,27.35,20.93,16.32
1981,9,12,30.32,20.81,4.51
1981,9,13,27.24,22.3,10.52
1981,9,14,29.25,20.05,4.75
1981,9,15,29.26,22.12,9.46
1981,9,16,28.19,20.8,22.41
1981,9,17,28.24,21.28,11.66
1981,9,19,28.55,21.39,5.16
1981,9,20,29.01,20.82,10.01
1981,9,21,28.25,20.94,5.1
1981,9,22,29.24,21.08,4.94
1981,9,23,28.52,21.7,10.26
1981,9,24,29.29,21.64,5.29
1981,9,25,25.84,22.18,8.23
1981,9,26,25.98,21.53,4.61
1981,9,27,30.48,20.99,2.49
1981,9,28,28.73,22.33,3.21
1981,9,29,29.47,22.37,3.2
1981,9,30,30.19,22.05,1.34
1981,10,1,30.15,21.73,3.22
1981,10,2,29.85,21.5,3.48
1981,10,3,30.9,20.48,0.95
1981,10,4,31.23,20.42,2.15
1981,10,5,31.58,21.3,0.83
1981,10,6,31.38,21.53,1.6
1981,10,7,31.09,21.81,0.79
1981,10,8,30.12,21.75,4.34
1981,10,9,30.38,21.59,2.34
1981,10,10,27.55,21.3,0.52
1981,10,11,30.44,21.48,1.61
1981,10,12,30.91,21.11,1.32
1981,10,13,28.09,21.41,2.53
1981,10,14,30.73,21.12,0.7
1981,10,15,31.15,21.63,2.35
1981,10,16,31.65,21.78,1.07
1981,10,17,31.45,21.24,1.62
1981,10,18,31.94,21.47,0.22
1981,10,19,32.33,21.72,0.17
1981,10,20,32.26,21.74,0.2
1981,10,21,31.04,21.78,0.23
1981,10,22,30.07,21.58,0.13
1981,10,23,29.99,22,2.61
1981,10,24,31.79,21.26,4.75
1981,10,25,29.63,22.07,1.65
1981,10,26,30.98,22.08,1.81
1981,10,27,30.62,21.4,1.65
1981,10,28,30.76,21.8,0.03
1981,10,29,31.72,22.59,0.03
1981,10,30,31.19,22.24,0.03
1981,10,31,30.62,21.83,0.02
1981,11,1,31.58,22.62,0.02
1981,11,2,30.97,20.82,0.09
1981,11,3,32.19,21.51,0.15
1981,11,4,31.57,21.19,0.14
1981,11,5,28.89,21.6,0
1981,11,6,30.44,20.42,0.02
1981,11,7,30.68,17.43,0
1981,11,8,31.12,16.73,0
1981,11,9,29.42,17.41,0
1981,11,10,30.74,16.51,0
1981,11,11,31.08,16.17,0
1981,11,12,32.01,18.07,0.26
1981,11,13,32,19.51,0.09
1981,11,14,31.65,17.26,0
1981,11,15,31.25,16.8,0.01
1981,11,16,31.12,17.51,0.07
1981,11,17,31.94,16.39,0
1981,11,18,31.44,15.76,0
1981,11,19,31.79,16.07,0
1981,11,20,31.76,17.8,0.23
1981,11,21,31.35,17.23,0.02
1981,11,22,30.02,14.77,0
1981,11,23,28.76,13.55,0
1981,11,24,29.1,13.45,0
1981,11,25,29.55,13.78,0
1981,11,26,30.25,13.75,0
1981,11,27,30.78,14.77,0
1981,11,28,30.48,15.74,0
1981,11,29,29.05,16.47,0
1981,11,30,31.4,16.21,0
1981,12,1,31.8,14.79,0
1981,12,2,31.75,16.03,0
1981,12,3,31.24,14.4,0
1981,12,4,30.63,13.49,0
1981,12,5,30.83,12.92,0
1981,12,6,30.5,12.07,0
1981,12,7,31.05,13.86,0
1981,12,8,29.23,15.94,0
1981,12,9,31.65,14.24,0
1981,12,10,30.44,14.78,0
1981,12,11,32.59,14.48,0
1981,12,12,32.82,13.86,0
1981,12,13,31.98,15.83,0
1981,12,14,32.21,14.75,0
1981,12,15,32.54,14.23,0
1981,12,16,32.04,14.38,0
1981,12,17,32.93,15.65,0
1981,12,18,33.04,16.12,0
1981,12,19,33,15.23,0
1981,12,20,33.15,15.44,0
1981,12,21,33.08,16.87,0
1981,12,22,32.45,14.06,0
1981,12,23,32.7,13.96,0
1981,12,25,33.47,13.98,0
1981,12,26,34.46,16.87,0
1981,12,27,34.24,17.51,0
1981,12,28,34.05,17.12,0
1981,12,29,34.52,15.26,0
1981,12,30,34.77,16.18,0
1981,12,31,35.14,17.21,0
1982,1,1,34.98,15.69,0
1982,1,2,34.37,15.35,0
1982,1,3,33.58,14.11,0
1982,1,4,33.77,13.69,0
1982,1,5,32.38,12.99,0
1982,1,6,31.3,11.64,0
1982,1,7,31.26,11.38,0
1982,1,8,31.44,11.71,0
1982,1,9,31.81,12.23,0
1982,1,10,31.6,11.26,0
1982,1,11,32.65,11.7,0
1982,1,12,33.59,13.03,0
1982,1,13,34.69,15.9,0.01
1982,1,14,34.49,17.2,0.02
1982,1,15,34.62,17.07,0
1982,1,16,33.97,15.98,0
1982,1,17,34.77,15.62,0
1982,1,18,34.59,15.9,0
1982,1,19,34.47,16.39,0
1982,1,20,33.12,15.73,0
1982,1,21,30.26,14.58,0.02
1982,1,22,30.24,15.27,0.31
1982,1,23,29.45,13.38,0.03
1982,1,24,30.15,12.15,0
1982,1,25,30.73,12.81,0
1982,1,26,32.51,12.41,0
1982,1,27,33.35,14.65,0
1982,1,28,33.82,14.44,0
1982,1,29,34.71,15.2,0
1982,1,30,34.18,15.03,0
1982,1,31,34.63,16.37,0
1982,2,1,35.45,15.15,0
1982,2,2,36.19,15.4,0
1982,2,3,36.36,15.99,0
1982,2,4,36.75,18.58,0
1982,2,5,37.7,19,0
1982,2,6,37.13,17.15,0
1982,2,7,36,17.08,0
1982,2,8,34.76,16.65,0
1982,2,9,34.83,15.65,0
1982,2,10,35.2,18.19,0
1982,2,11,34.85,18.06,0
1982,2,12,36.55,16.73,0
1982,2,13,37.36,19.08,0
1982,2,14,37.29,19.62,0
1982,2,15,37.09,19,1.74
1982,2,16,34,23.9,1.86
1982,2,17,35.8,22.3,0.92
1982,2,18,33.87,24,1.9
1982,2,19,28.24,22.46,3.05
1982,2,20,35.39,21.24,0.02
1982,2,21,35.19,19.48,0.01
1982,2,22,34.86,16.99,0
1982,2,23,36.03,18.54,0
1982,2,24,35.16,18.53,0
1982,2,25,32.69,18.83,0
1982,2,26,36.19,17.73,0
1982,2,27,36.49,18.11,0
1982,2,28,37.55,18.65,0
1982,3,1,37.6,18.63,0
1982,3,2,36.76,19.23,0
1982,3,3,36.49,17.96,0
1982,3,4,35.98,18.59,0
1982,3,5,36.19,17.45,0
1982,3,6,37.07,16.47,0
1982,3,7,37.8,16.93,0
1982,3,8,39.03,19.26,0
1982,3,9,39.11,20.04,1.25
1982,3,10,36.21,24.13,12.51
1982,3,11,29.57,23.7,23.87
1982,3,12,29.73,22.26,16.43
1982,3,13,27.94,22.12,3.62
1982,3,14,31.44,21.65,8.04
1982,3,15,34.08,23.41,6.83
1982,3,16,35.22,22.87,6.27
1982,3,17,34.55,23.05,0.22
1982,3,18,31.37,23.04,3.73
1982,3,19,35.5,23.26,1.17
1982,3,20,32.06,24.2,2.5
1982,3,21,27.51,22.88,1.26
1982,3,22,26.76,19.84,23.03
1982,3,23,33.37,20.18,0.02
1982,3,24,34.03,22.37,0.03
1982,3,25,35.98,19.37,0
1982,3,26,34.8,21.55,0.1
1982,3,27,36.19,23.04,1.12
1982,3,28,36,23.26,0.65
1982,3,29,32.99,24.23,0.68
1982,3,30,33.21,23.29,3.4
1982,3,31,35.05,23.54,5.21
1982,4,1,34.92,23.71,1.99
1982,4,2,35.8,25.02,1.64
1982,4,3,37.42,23.39,0.64
1982,4,4,36.87,24.08,1.46
1982,4,5,35.84,24.55,1.07
1982,4,6,31.62,24.73,0.05
1982,4,7,36.73,23.68,0.23
1982,4,8,36.3,24.96,0.19
1982,4,9,38.23,23.37,0.03
1982,4,10,35.81,24.46,0.04
1982,4,11,31.4,24.17,18.55
1982,4,12,34.15,22.63,13.59
1982,4,13,30.52,23.18,11.83
1982,4,14,29.73,21.11,17.1
1982,4,15,34.68,21.7,11
1982,4,16,33.63,22.87,1.51
1982,4,17,31.4,23.38,4.35
1982,4,18,34.78,21.79,0.4
1982,4,19,32.8,23.25,3.82
1982,4,20,30.28,23.8,4.94
1982,4,21,33.3,22.98,4.34
1982,4,22,31.63,22.24,5.63
1982,4,23,33.49,21.83,5.65
1982,4,24,32.37,22.79,8.51
1982,4,25,29.58,23.6,28.79
1982,4,26,30.82,23.33,1.34
1982,4,27,30.42,23.23,0.78
1982,4,29,32.8,22.98,1.35
1982,4,30,30.65,23.32,1.96
1982,5,1,30.62,22.72,8.5
1982,5,2,32.37,22.04,9.9
1982,5,3,30.83,22.8,1.46
1982,5,4,31.32,22.59,4.15
1982,5,5,30.83,22.91,7.25
1982,5,6,33.45,22.38,5.29
1982,5,7,30.8,23.49,5.83
1982,5,8,30.38,22.44,0.36
1982,5,9,31.84,21.8,0.38
1982,5,10,32.07,21.74,0.73
1982,5,11,31.43,22.48,10.54
1982,5,12,35.7,22.69,0.21
1982,5,13,32.92,21.9,6.25
1982,5,14,30.65,23.35,0.39
1982,5,15,33.76,22.96,0.16
1982,5,16,33.97,22.97,0.23
1982,5,17,33.48,23.87,1.57
1982,5,18,31.65,24.08,4.67
1982,5,19,32.56,23.94,2.16
1982,5,20,31.51,23.81,0.19
1982,5,21,33.17,22.79,1.11
1982,5,22,35.22,23.43,1.21
1982,5,23,31.98,23.97,1.55
1982,5,24,29.21,23.04,0.68
1982,5,25,33.1,21.99,0.34
1982,5,26,31.87,22.72,5.62
1982,5,27,30.44,22.65,9.73
1982,5,28,30.95,22.98,1.21
1982,5,29,32.37,22.16,2.09
1982,5,30,31.92,22.22,2.2
1982,5,31,31.23,22.28,12.99
1982,6,1,30.61,22.37,11.89
1982,6,2,31.72,22.26,1.14
1982,6,3,31.66,21.31,4.48
1982,6,4,29.85,22.03,6.08
1982,6,5,31.59,22.46,2.36
1982,6,6,31.15,22.58,3.35
1982,6,7,29.87,22.86,9.01
1982,6,8,29.21,22.91,4.52
1982,6,9,27.55,22.26,8.88
1982,6,10,32.07,21.08,3.49
1982,6,11,33.58,20.07,0.86
1982,6,12,32.08,21.17,18.4
1982,6,13,30.57,22.3,10.42
1982,6,14,30.51,22.48,2.74
1982,6,15,30.2,22.24,2.93
1982,6,16,31.71,21.87,2.69
1982,6,17,29.12,22.91,1.77
1982,6,18,29.98,23.01,3.37
1982,6,19,30.61,22.37,2.75
1982,6,20,30.11,21.7,14.03
1982,6,21,29.83,22.21,7.88
1982,6,22,31.23,21.92,7.24
1982,6,23,28.94,21.88,11.68
1982,6,24,25.62,22.81,8.55
1982,6,25,30.13,21.8,4.41
1982,6,26,29.91,21.76,2.17
1982,6,27,28.53,21.39,6.13
1982,6,28,29.65,20.94,3.27
1982,6,29,29.19,21.11,13.88
1982,6,30,29.48,20.33,2.56
1982,7,1,31.9,21.55,1.1
1982,7,2,29.73,22.42,5.14
1982,7,3,29.51,21.7,6.08
1982,7,4,30.44,21.36,4.25
1982,7,5,29.95,20.98,2.26
1982,7,6,28.73,22.43,4.69
1982,7,7,29.83,20.82,4.93
1982,7,8,29.87,21.26,1
1982,7,9,30.2,21.73,1.83
1982,7,10,29.64,21.57,16.65
1982,7,11,27.43,22.4,15.73
1982,7,12,27.34,21.6,7
1982,7,13,29.05,21.08,3.87
1982,7,14,28.37,20.91,4.73
1982,7,15,30.73,19.66,5.6
1982,7,16,27.7,21.9,25.63
1982,7,17,29.08,21.1,4.05
1982,7,18,29.2,20.55,2.33
1982,7,19,29.31,21.69,4.4
1982,7,20,29.97,20.07,2
1982,7,21,31.51,20.69,1.37
1982,7,22,28.64,21.48,4.52
1982,7,23,28.48,21.23,3.05
1982,7,24,28.29,21.06,5.26
1982,7,25,28.55,21.27,7.06
1982,7,26,29.55,20.86,3.85
1982,7,27,30.04,21.58,7.63
1982,7,28,29.91,21.96,8.92
1982,7,29,28.76,21.68,5.34
1982,7,30,30.18,20.58,2.66
1982,7,31,28.59,22.29,3.92
1982,8,1,28.21,21.31,2.84
1982,8,2,27.41,20.8,9.59
1982,8,3,29.19,21.6,1.29
1982,8,4,29.05,21.19,4.17
1982,8,5,28.2,21.61,9.88
1982,8,6,24.98,20.41,13.95
1982,8,7,26.3,20.48,7.45
1982,8,8,27.67,21.17,8.22
1982,8,9,27.84,21.15,2.75
1982,8,10,26.91,21.32,3.86
1982,8,11,25.85,20.46,7.01
1982,8,12,29.4,19.44,3.62
1982,8,13,28.23,21.77,3.07
1982,8,14,27.35,20.57,1.38
1982,8,15,29.06,20.55,3.88
1982,8,16,29.44,21.36,9.44
1982,8,17,30.75,21.17,7.75
1982,8,18,27.1,22.26,7.6
1982,8,19,28.01,21.59,8.86
1982,8,20,27.35,20.51,14.09
1982,8,21,25.36,21.43,5.52
1982,8,22,27.4,20.48,2.66
1982,8,23,27.62,21.4,8.78
1982,8,24,27.1,21.41,13.67
1982,8,25,28.28,20.51,13.26
1982,8,26,27.9,21.01,5.33
1982,8,27,28.74,20.82,10.33
1982,8,28,28.73,20.4,18.89
1982,8,29,28.22,21.2,10.57
1982,8,30,29.36,20.76,4.65
1982,8,31,28.46,20.91,10.13
1982,9,1,28.23,21.83,10.79
1982,9,2,28.73,21.35,15.96
1982,9,3,29.16,21.4,5.4
1982,9,4,29.58,21.52,20.22
1982,9,5,27.44,21.59,9.8
1982,9,6,27.74,21.65,2.8
1982,9,7,29.44,21.37,6.99
1982,9,8,29.19,21.86,6.91
1982,9,9,28.99,22.06,7.82
1982,9,10,29.12,21.45,3.78
1982,9,11,29.37,21.37,7.15
1982,9,12,25.83,21.94,7.8
1982,9,13,29.57,20.8,2.12
1982,9,14,30.41,20.58,2.12
1982,9,15,29.33,21.38,1.32
